Name,Sex,Age,MidTerm,Grade
621050516,female,19,47,T
621050517,female,18,87,T
621050518,male,20,96,F
621050519,female,19,98,T
621050520,male,20,56,F
621050521,male,20,12,F
621050522,male,20,79,F
621050523,male,18,41,T
621050524,male,18,20,F
621050525,male,20,52,F
621050526,male,18,30,T
621050527,male,20,40,F
621050528,male,18,91,T
621050529,male,18,10,F
621050530,female,20,96,F
621050531,female,19,14,F
621050532,male,20,39,F
621050533,male,20,75,F
621050534,female,18,40,T
621050535,male,20,90,F
621050536,female,19,18,F
621050537,male,19,6,F
621050538,female,19,98,T
621050539,male,19,5,F
621050540,male,20,69,F
621050541,female,18,49,T
621050542,female,20,39,F
621050543,male,18,84,T
621050544,male,20,16,F
621050545,male,20,46,F
621050546,male,18,3,F
621050547,female,20,89,F
621050548,female,18,32,T
621050549,male,19,19,F
621050550,male,18,51,T
621050551,male,18,93,T
621050552,female,18,25,F
621050553,male,19,54,T
621050554,male,18,83,T
621050555,female,19,29,F
621050556,female,20,60,F
621050557,female,20,28,F
621050558,female,19,51,T
621050559,female,19,97,T
621050560,female,20,53,F
621050561,male,20,74,F
621050562,male,18,55,T
621050563,male,18,15,F
621050564,male,20,31,F
621050565,female,19,27,F
621050566,male,18,49,T
621050567,male,20,47,F
621050568,male,20,5,F
621050569,female,19,15,F
621050570,female,18,10,F
621050571,male,20,82,F
621050572,male,19,93,T
621050573,female,20,27,F
621050574,male,18,1,F
621050575,female,20,75,F
621050576,female,20,33,F
621050577,female,20,4,F
621050578,male,20,5,F
621050579,male,19,39,T
621050580,female,20,44,F
621050581,male,20,9,F
621050582,male,19,66,T
621050583,male,20,48,F
621050584,male,18,89,T
621050585,male,20,4,F
621050586,male,20,16,F
621050587,male,19,81,T
621050588,male,20,67,F
621050589,male,19,24,F
621050590,female,20,15,F
621050591,female,19,75,T
621050592,female,18,41,T
621050593,male,19,48,T
621050594,female,20,67,F
621050595,male,18,10,F
621050596,male,20,67,F
621050597,male,19,5,F
621050598,female,18,25,F
621050599,male,20,5,F
621050600,female,19,12,F
621050601,female,20,69,F
621050602,male,20,26,F
621050603,male,20,54,F
621050604,female,18,46,T
621050605,male,18,13,F
621050606,male,20,13,F
621050607,female,19,45,T
621050608,female,18,49,T
621050609,male,19,94,T
621050610,female,19,45,T
621050611,female,19,41,T
621050612,female,20,34,F
621050613,female,20,45,F
621050614,male,18,17,F
621050615,male,18,64,T
621050616,female,18,23,F
621050617,female,20,67,F
621050618,male,20,97,F
621050619,female,20,78,F
621050620,female,20,37,F
621050621,male,20,76,F
621050622,male,19,40,T
621050623,female,19,0,F
621050624,female,19,70,T
621050625,male,19,53,T
621050626,female,19,20,F
621050627,male,19,13,F
621050628,female,19,23,F
621050629,female,19,47,T
621050630,female,18,52,T
621050631,female,18,70,T
621050632,male,20,37,F
621050633,male,20,7,F
621050634,male,20,25,F
621050635,female,20,66,F
621050636,male,19,37,T
621050637,male,20,0,F
621050638,female,19,32,T
621050639,male,20,1,F
621050640,male,19,48,T
621050641,male,18,84,T
621050642,female,19,84,T
621050643,male,20,36,F
621050644,male,19,56,T
621050645,male,18,4,F
621050646,female,20,73,F
621050647,female,18,4,F
621050648,female,19,36,T
621050649,male,19,81,T
621050650,male,20,2,F
621050651,male,19,46,T
621050652,male,20,33,F
621050653,male,19,39,T
621050654,male,20,30,F
621050655,male,19,33,T
621050656,male,20,83,F
621050657,female,19,29,F
621050658,female,18,13,F
621050659,female,18,31,T
621050660,female,19,8,F
621050661,male,19,10,F
621050662,male,19,28,F
621050663,female,18,75,T
621050664,male,18,8,F
621050665,male,19,96,T
621050666,male,18,27,F
621050667,female,18,19,F
621050668,female,19,72,T
621050669,female,18,35,T
621050670,female,18,85,T
621050671,male,20,76,F
621050672,male,18,94,T
621050673,male,20,23,F
621050674,male,19,88,T
621050675,female,18,49,T
621050676,female,20,72,F
621050677,female,19,44,T
621050678,male,20,17,F
621050679,male,20,39,F
621050680,male,19,10,F
621050681,female,20,83,F
621050682,female,18,68,T
621050683,male,19,51,T
621050684,female,19,26,F
621050685,male,19,85,T
621050686,male,19,56,T
621050687,male,20,88,F
621050688,female,19,93,T
621050689,male,18,37,T
621050690,female,19,86,T
621050691,male,18,82,T
621050692,male,20,47,F
621050693,male,20,76,F
621050694,female,20,100,F
621050695,female,20,68,F
621050696,male,20,76,F
621050697,female,19,57,T
621050698,male,19,41,T
621050699,male,18,85,T
621050700,female,18,84,T
621050701,male,18,89,T
621050702,male,19,80,T
621050703,female,18,15,F
621050704,male,20,25,F
621050705,female,20,31,F
621050706,male,19,45,T
621050707,male,18,35,T
621050708,male,19,31,T
621050709,male,19,20,F
621050710,female,19,75,T
621050711,male,18,22,F
621050712,male,19,3,F
621050713,female,20,10,F
621050714,male,19,5,F
621050715,male,19,26,F
621050716,female,19,44,T
621050717,female,19,47,T
621050718,female,19,80,T
621050719,male,20,79,F
621050720,female,18,84,T
621050721,male,18,15,F
621050722,male,19,5,F
621050723,male,18,44,T
621050724,female,20,56,F
621050725,male,18,96,T
621050726,male,18,49,T
621050727,female,20,19,F
621050728,female,18,90,T
621050729,male,18,27,F
621050730,male,18,95,T
621050731,male,18,68,T
621050732,female,18,20,F
621050733,female,18,1,F
621050734,male,18,10,F
621050735,male,19,96,T
621050736,female,20,35,F
621050737,female,20,54,F
621050738,female,19,88,T
621050739,male,19,55,T
621050740,male,20,91,F
621050741,female,19,47,T
621050742,male,20,56,F
621050743,male,18,90,T
621050744,female,18,3,F
621050745,male,19,37,T
621050746,male,20,47,F
621050747,female,18,92,T
621050748,male,20,28,F
621050749,female,18,37,T
621050750,male,20,44,F
621050751,male,19,47,T
621050752,male,20,31,F
621050753,male,18,36,T
621050754,male,19,15,F
621050755,male,19,69,T
621050756,male,18,36,T
621050757,male,19,3,F
621050758,female,18,88,T
621050759,female,20,76,F
621050760,male,20,82,F
621050761,male,18,65,T
621050762,male,20,81,F
621050763,male,19,51,T
621050764,male,18,66,T
621050765,male,20,98,F
621050766,male,20,82,F
621050767,male,18,17,F
621050768,male,18,76,T
621050769,male,19,76,T
621050770,female,20,17,F
621050771,male,20,69,F
621050772,male,19,97,T
621050773,female,20,84,F
621050774,female,20,39,F
621050775,female,20,95,F
621050776,male,20,34,F
621050777,male,18,92,T
621050778,male,19,89,T
621050779,male,18,4,F
621050780,female,20,89,F
621050781,male,20,40,F
621050782,male,20,6,F
621050783,male,20,40,F
621050784,female,20,98,F
621050785,male,20,46,F
621050786,female,19,56,T
621050787,female,20,90,F
621050788,male,19,51,T
621050789,male,20,98,F
621050790,male,20,86,F
621050791,male,18,99,T
621050792,male,20,51,F
621050793,male,18,82,T
621050794,male,19,89,T
621050795,male,20,79,F
621050796,male,18,81,T
621050797,female,20,79,F
621050798,male,18,81,T
621050799,female,20,31,F
621050800,male,18,64,T
621050801,male,20,39,F
621050802,female,20,51,F
621050803,female,19,44,T
621050804,female,19,41,T
621050805,female,20,25,F
621050806,male,18,57,T
621050807,female,20,93,F
621050808,male,18,92,T
621050809,male,19,33,T
621050810,male,18,81,T
621050811,male,20,41,F
621050812,male,20,48,F
621050813,male,19,52,T
621050814,female,19,64,T
621050815,male,20,59,F
621050816,male,18,11,F
621050817,female,19,23,F
621050818,male,18,85,T
621050819,female,20,68,F
621050820,male,20,65,F
621050821,female,20,5,F
621050822,male,19,38,T
621050823,male,18,31,T
621050824,female,20,5,F
621050825,male,19,92,T
621050826,male,18,3,F
621050827,female,19,18,F
621050828,male,18,50,T
621050829,male,20,37,F
621050830,male,19,8,F
621050831,female,18,89,T
621050832,male,19,58,T
621050833,male,18,35,T
621050834,female,18,96,T
621050835,female,18,55,T
621050836,female,18,95,T
621050837,male,19,3,F
621050838,female,18,70,T
621050839,male,20,91,F
621050840,female,18,85,T
621050841,female,20,59,F
621050842,female,20,42,F
621050843,female,20,67,F
621050844,male,20,54,F
621050845,male,18,8,F
621050846,male,19,66,T
621050847,female,18,84,T
621050848,male,20,75,F
621050849,male,18,66,T
621050850,male,19,65,T
621050851,male,20,56,F
621050852,male,20,31,F
621050853,male,20,32,F
621050854,male,18,83,T
621050855,female,18,28,F
621050856,male,18,64,T
621050857,female,18,43,T
621050858,male,18,93,T
621050859,female,18,13,F
621050860,female,18,68,T
621050861,male,19,78,T
621050862,male,19,61,T
621050863,male,18,74,T
621050864,male,19,100,T
621050865,female,20,0,F
621050866,male,19,70,T
621050867,male,18,20,F
621050868,female,19,44,T
621050869,male,20,4,F
621050870,male,19,19,F
621050871,male,19,19,F
621050872,female,20,99,F
621050873,male,20,26,F
621050874,female,19,93,T
621050875,male,18,39,T
621050876,male,18,24,F
621050877,female,20,63,F
621050878,female,19,18,F
621050879,female,20,76,F
621050880,male,18,54,T
621050881,female,19,26,F
621050882,female,20,82,F
621050883,male,18,21,F
621050884,male,18,16,F
621050885,male,19,3,F
621050886,female,20,96,F
621050887,male,19,73,T
621050888,male,20,67,F
621050889,male,18,92,T
621050890,male,18,43,T
621050891,male,20,19,F
621050892,female,19,30,T
621050893,male,20,52,F
621050894,female,19,13,F
621050895,male,18,96,T
621050896,male,18,46,T
621050897,female,20,61,F
621050898,male,20,2,F
621050899,male,18,42,T
621050900,male,20,65,F
621050901,female,19,64,T
621050902,male,20,19,F
621050903,male,20,84,F
621050904,male,19,0,F
621050905,male,20,59,F
621050906,male,20,21,F
621050907,male,20,98,F
621050908,male,20,15,F
621050909,female,19,95,T
621050910,female,18,21,F
621050911,female,19,8,F
621050912,male,19,16,F
621050913,female,19,58,T
621050914,male,18,45,T
621050915,male,19,61,T
621050916,female,19,82,T
621050917,male,18,87,T
621050918,female,19,92,T
621050919,female,20,68,F
621050920,male,19,18,F
621050921,male,20,95,F
621050922,male,19,100,T
621050923,male,19,78,T
621050924,male,19,57,T
621050925,male,19,87,T
621050926,male,18,64,T
621050927,male,20,43,F
621050928,female,18,13,F
621050929,male,18,38,T
621050930,male,19,25,F
621050931,male,20,14,F
621050932,male,18,25,F
621050933,male,19,54,T
621050934,male,18,88,T
621050935,female,19,21,F
621050936,female,20,100,F
621050937,male,18,92,T
621050938,male,19,70,T
621050939,female,19,7,F
621050940,male,20,9,F
621050941,male,19,3,F
621050942,female,20,92,F
621050943,female,18,100,T
621050944,male,20,91,F
621050945,female,20,74,F
621050946,male,19,57,T
621050947,male,18,82,T
621050948,male,20,83,F
621050949,male,18,41,T
621050950,female,19,72,T
621050951,male,19,21,F
621050952,female,20,39,F
621050953,male,19,77,T
621050954,female,20,20,F
621050955,female,20,89,F
621050956,male,20,67,F
621050957,male,19,35,T
621050958,female,18,37,T
621050959,male,20,18,F
621050960,male,20,89,F
621050961,male,18,32,T
621050962,male,20,94,F
621050963,male,19,58,T
621050964,male,20,94,F
621050965,male,20,60,F
621050966,male,18,29,F
621050967,male,18,2,F
621050968,male,19,9,F
621050969,male,18,58,T
621050970,female,20,73,F
621050971,female,20,16,F
621050972,male,18,39,T
621050973,male,18,80,T
621050974,male,20,100,F
621050975,male,20,1,F
621050976,male,19,69,T
621050977,male,18,28,F
621050978,female,19,5,F
621050979,female,20,41,F
621050980,male,19,79,T
621050981,female,19,89,T
621050982,male,18,2,F
621050983,male,18,42,T
621050984,male,18,15,F
621050985,male,19,94,T
621050986,male,20,8,F
621050987,male,20,58,F
621050988,male,20,9,F
621050989,male,18,13,F
621050990,female,20,15,F
621050991,male,20,65,F
621050992,female,19,65,T
621050993,male,19,20,F
621050994,male,18,7,F
621050995,male,19,43,T
621050996,male,18,47,T
621050997,male,19,56,T
621050998,female,18,99,T
621050999,male,20,89,F
621051000,male,19,86,T
621051001,female,18,8,F
621051002,male,20,39,F
621051003,female,19,80,T
621051004,male,20,58,F
621051005,male,19,71,T
621051006,male,19,40,T
621051007,female,18,20,F
621051008,male,19,62,T
621051009,female,19,82,T
621051010,male,18,49,T
621051011,female,18,51,T
621051012,male,20,15,F
621051013,male,20,57,F
621051014,male,19,15,F
621051015,male,19,0,F
621051016,male,19,79,T
621051017,female,19,14,F
621051018,female,19,11,F
621051019,male,18,90,T
621051020,male,19,81,T
621051021,female,19,22,F
621051022,male,20,35,F
621051023,male,18,30,T
621051024,male,20,60,F
621051025,male,18,25,F
621051026,male,20,1,F
621051027,female,20,12,F
621051028,female,19,15,F
621051029,male,20,31,F
621051030,female,18,30,T
621051031,female,20,42,F
621051032,male,18,7,F
621051033,male,20,92,F
621051034,male,20,49,F
621051035,male,19,50,T
621051036,male,18,34,T
621051037,female,19,88,T
621051038,male,19,38,T
621051039,male,19,26,F
621051040,male,20,18,F
621051041,male,19,30,T
621051042,male,20,53,F
621051043,female,20,80,F
621051044,male,20,75,F
621051045,male,20,83,F
621051046,male,20,86,F
621051047,male,19,50,T
621051048,female,20,15,F
621051049,male,20,6,F
621051050,male,18,4,F
621051051,female,18,15,F
621051052,male,18,85,T
621051053,male,19,76,T
621051054,male,20,22,F
621051055,female,18,46,T
621051056,male,19,100,T
621051057,male,20,13,F
621051058,male,19,94,T
621051059,male,19,74,T
621051060,female,19,43,T
621051061,male,20,87,F
621051062,male,19,3,F
621051063,male,18,57,T
621051064,female,19,42,T
621051065,male,18,21,F
621051066,female,20,14,F
621051067,male,20,34,F
621051068,female,18,96,T
621051069,male,19,68,T
621051070,male,20,83,F
621051071,male,18,4,F
621051072,male,20,76,F
621051073,female,20,14,F
621051074,male,20,27,F
621051075,female,18,45,T
621051076,male,18,30,T
621051077,male,19,21,F
621051078,female,19,45,T
621051079,male,20,49,F
621051080,female,18,6,F
621051081,female,20,10,F
621051082,female,20,9,F
621051083,male,20,99,F
621051084,male,18,51,T
621051085,male,20,31,F
621051086,male,19,17,F
621051087,female,19,25,F
621051088,male,20,28,F
621051089,male,18,39,T
621051090,male,20,33,F
621051091,male,18,94,T
621051092,male,18,42,T
621051093,female,18,22,F
621051094,male,19,59,T
621051095,male,20,54,F
621051096,male,18,35,T
621051097,female,18,8,F
621051098,female,19,1,F
621051099,male,20,0,F
621051100,female,20,71,F
621051101,male,18,61,T
621051102,female,19,32,T
621051103,male,18,89,T
621051104,male,19,68,T
621051105,male,18,34,T
621051106,male,20,38,F
621051107,male,18,48,T
621051108,female,20,44,F
621051109,male,18,91,T
621051110,female,20,4,F
621051111,male,20,94,F
621051112,male,18,23,F
621051113,male,19,82,T
621051114,female,20,84,F
621051115,male,18,59,T
621051116,male,18,62,T
621051117,female,18,94,T
621051118,male,20,59,F
621051119,male,19,95,T
621051120,male,19,32,T
621051121,female,20,58,F
621051122,male,18,54,T
621051123,male,19,13,F
621051124,female,19,85,T
621051125,male,20,76,F
621051126,male,20,24,F
621051127,male,18,89,T
621051128,male,18,88,T
621051129,male,20,86,F
621051130,female,18,87,T
621051131,female,19,69,T
621051132,male,19,47,T
621051133,male,19,93,T
621051134,male,20,11,F
621051135,male,19,68,T
621051136,female,19,15,F
621051137,male,20,57,F
621051138,male,18,55,T
621051139,male,19,3,F
621051140,male,18,25,F
621051141,male,18,15,F
621051142,male,20,5,F
621051143,female,18,18,F
621051144,male,20,37,F
621051145,male,18,84,T
621051146,male,20,65,F
621051147,male,20,19,F
621051148,male,20,96,F
621051149,male,20,68,F
621051150,female,18,67,T
621051151,male,18,17,F
621051152,male,20,94,F
621051153,female,19,20,F
621051154,female,18,74,T
621051155,female,20,39,F
621051156,female,19,22,F
621051157,female,20,45,F
621051158,male,20,37,F
621051159,female,20,74,F
621051160,male,18,33,T
621051161,male,20,93,F
621051162,male,20,61,F
621051163,female,18,43,T
621051164,female,18,83,T
621051165,male,19,71,T
621051166,female,19,97,T
621051167,female,18,92,T
621051168,male,19,11,F
621051169,male,20,37,F
621051170,male,20,81,F
621051171,male,18,73,T
621051172,female,18,98,T
621051173,male,20,13,F
621051174,male,19,64,T
621051175,female,20,63,F
621051176,female,20,56,F
621051177,male,18,17,F
621051178,male,19,54,T
621051179,male,19,86,T
621051180,female,18,67,T
621051181,female,20,2,F
621051182,male,19,73,T
621051183,female,18,40,T
621051184,male,19,17,F
621051185,male,18,89,T
621051186,female,19,54,T
621051187,male,18,54,T
621051188,female,18,8,F
621051189,female,20,70,F
621051190,male,20,58,F
621051191,male,19,2,F
